target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;211;65436;65426;0;0;200;;;;;
200;210;65441;65436;0;5;200;;;;;
200;210;65441;65436;0;5;200;;;;;
200;210;65441;65436;0;5;200;;;;;
200;210;65441;65436;0;5;200;;;;;
200;210;65441;65436;0;5;200;;;;;
200;210;65441;65436;0;5;200;;;;;
200;209;65456;65446;0;10;200;;;;;
200;209;65456;65446;0;10;200;;;;;
200;209;65456;65446;0;10;200;;;;;
200;209;65451;65446;0;5;200;;;;;
200;209;65451;65446;0;5;200;;;;;
200;209;65451;65446;0;5;200;;;;;
200;209;65451;65446;0;5;200;;;;;
200;209;65451;65446;0;5;200;;;;;
200;209;65451;65446;0;5;200;;;;;
200;208;65446;65446;0;0;200;;;;;
200;208;65446;65446;0;0;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65461;65456;0;5;200;;;;;
200;208;65456;65456;0;0;200;;;;;
200;208;65471;65466;0;5;200;;;;;
200;207;65471;65466;0;5;200;;;;;
200;207;65471;65466;0;5;200;;;;;
200;207;65471;65466;0;5;200;;;;;
200;207;65471;65466;0;5;200;;;;;
200;207;65471;65466;0;5;200;;;;;
200;206;65486;65476;0;10;200;;;;;
200;206;65486;65476;0;10;200;;;;;
200;206;65486;65476;0;10;200;;;;;
200;206;65481;65476;0;5;200;;;;;
200;206;65481;65476;0;5;200;;;;;
200;206;65481;65476;0;5;200;;;;;
200;206;65481;65476;0;5;200;;;;;
200;206;65481;65476;0;5;200;;;;;
200;206;65481;65476;0;5;200;;;;;
200;206;65476;65476;0;0;200;;;;;
200;206;65476;65476;0;0;200;;;;;
200;206;65476;65476;0;0;200;;;;;
200;205;65491;65486;0;5;200;;;;;
200;205;65491;65486;0;5;200;;;;;
200;205;65491;65486;0;5;200;;;;;
200;205;65491;65486;0;5;200;;;;;
200;204;65491;65486;0;5;200;;;;;
200;204;65506;65496;0;10;200;;;;;
200;204;65506;65496;0;10;200;;;;;
200;204;65506;65496;0;10;200;;;;;
200;204;65506;65496;0;10;200;;;;;
200;204;65501;65496;0;5;200;;;;;
200;204;65501;65496;0;5;200;;;;;
200;204;65501;65496;0;5;200;;;;;
200;204;65501;65496;0;5;200;;;;;
200;204;65501;65496;0;5;200;;;;;
200;204;65496;65496;0;0;200;;;;;
200;204;65496;65496;0;0;200;;;;;
200;204;65496;65496;0;0;200;;;;;
200;203;65496;65496;0;0;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65511;65506;0;5;200;;;;;
200;203;65506;65506;0;0;200;;;;;
200;203;65516;65516;0;0;200;;;;;
200;202;65501;65506;0;65531;200;;;;;
200;202;65516;65516;0;0;200;;;;;
200;202;65516;65516;0;0;200;;;;;
200;202;65516;65516;0;0;200;;;;;
200;202;65516;65516;0;0;200;;;;;
200;202;65516;65516;0;0;200;;;;;
200;201;65516;65516;0;0;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;0;65526;0;10;200;;;;;
